input_1	[(None, 150, 150, 3)]
conv2d	(None, 74, 74, 32)
batch_normalization	(None, 74, 74, 32)
activation	(None, 74, 74, 32)
conv2d_1	(None, 72, 72, 32)
batch_normalization_1	(None, 72, 72, 32)
activation_1	(None, 72, 72, 32)
conv2d_2	(None, 72, 72, 64)
batch_normalization_2	(None, 72, 72, 64)
activation_2	(None, 72, 72, 64)
max_pooling2d	(None, 35, 35, 64)
conv2d_3	(None, 35, 35, 80)
batch_normalization_3	(None, 35, 35, 80)
activation_3	(None, 35, 35, 80)
conv2d_4	(None, 33, 33, 192)
batch_normalization_4	(None, 33, 33, 192)
activation_4	(None, 33, 33, 192)
max_pooling2d_1	(None, 16, 16, 192)
conv2d_8	(None, 16, 16, 64)
batch_normalization_8	(None, 16, 16, 64)
activation_8	(None, 16, 16, 64)
conv2d_6	(None, 16, 16, 48)
conv2d_9	(None, 16, 16, 96)
batch_normalization_6	(None, 16, 16, 48)
batch_normalization_9	(None, 16, 16, 96)
activation_6	(None, 16, 16, 48)
activation_9	(None, 16, 16, 96)
average_pooling2d	(None, 16, 16, 192)
conv2d_5	(None, 16, 16, 64)
conv2d_7	(None, 16, 16, 64)
conv2d_10	(None, 16, 16, 96)
conv2d_11	(None, 16, 16, 32)
batch_normalization_5	(None, 16, 16, 64)
batch_normalization_7	(None, 16, 16, 64)
batch_normalization_10	(None, 16, 16, 96)
batch_normalization_11	(None, 16, 16, 32)
activation_5	(None, 16, 16, 64)
activation_7	(None, 16, 16, 64)
activation_10	(None, 16, 16, 96)
activation_11	(None, 16, 16, 32)
mixed0	(None, 16, 16, 256)
conv2d_15	(None, 16, 16, 64)
batch_normalization_15	(None, 16, 16, 64)
activation_15	(None, 16, 16, 64)
conv2d_13	(None, 16, 16, 48)
conv2d_16	(None, 16, 16, 96)
batch_normalization_13	(None, 16, 16, 48)
batch_normalization_16	(None, 16, 16, 96)
activation_13	(None, 16, 16, 48)
activation_16	(None, 16, 16, 96)
average_pooling2d_1	(None, 16, 16, 256)
conv2d_12	(None, 16, 16, 64)
conv2d_14	(None, 16, 16, 64)
conv2d_17	(None, 16, 16, 96)
conv2d_18	(None, 16, 16, 64)
batch_normalization_12	(None, 16, 16, 64)
batch_normalization_14	(None, 16, 16, 64)
batch_normalization_17	(None, 16, 16, 96)
batch_normalization_18	(None, 16, 16, 64)
activation_12	(None, 16, 16, 64)
activation_14	(None, 16, 16, 64)
activation_17	(None, 16, 16, 96)
activation_18	(None, 16, 16, 64)
mixed1	(None, 16, 16, 288)
conv2d_22	(None, 16, 16, 64)
batch_normalization_22	(None, 16, 16, 64)
activation_22	(None, 16, 16, 64)
conv2d_20	(None, 16, 16, 48)
conv2d_23	(None, 16, 16, 96)
batch_normalization_20	(None, 16, 16, 48)
batch_normalization_23	(None, 16, 16, 96)
activation_20	(None, 16, 16, 48)
activation_23	(None, 16, 16, 96)
average_pooling2d_2	(None, 16, 16, 288)
conv2d_19	(None, 16, 16, 64)
conv2d_21	(None, 16, 16, 64)
conv2d_24	(None, 16, 16, 96)
conv2d_25	(None, 16, 16, 64)
batch_normalization_19	(None, 16, 16, 64)
batch_normalization_21	(None, 16, 16, 64)
batch_normalization_24	(None, 16, 16, 96)
batch_normalization_25	(None, 16, 16, 64)
activation_19	(None, 16, 16, 64)
activation_21	(None, 16, 16, 64)
activation_24	(None, 16, 16, 96)
activation_25	(None, 16, 16, 64)
mixed2	(None, 16, 16, 288)
conv2d_27	(None, 16, 16, 64)
batch_normalization_27	(None, 16, 16, 64)
activation_27	(None, 16, 16, 64)
conv2d_28	(None, 16, 16, 96)
batch_normalization_28	(None, 16, 16, 96)
activation_28	(None, 16, 16, 96)
conv2d_26	(None, 7, 7, 384)
conv2d_29	(None, 7, 7, 96)
batch_normalization_26	(None, 7, 7, 384)
batch_normalization_29	(None, 7, 7, 96)
activation_26	(None, 7, 7, 384)
activation_29	(None, 7, 7, 96)
max_pooling2d_2	(None, 7, 7, 288)
mixed3	(None, 7, 7, 768)
conv2d_34	(None, 7, 7, 128)
batch_normalization_34	(None, 7, 7, 128)
activation_34	(None, 7, 7, 128)
conv2d_35	(None, 7, 7, 128)
batch_normalization_35	(None, 7, 7, 128)
activation_35	(None, 7, 7, 128)
conv2d_31	(None, 7, 7, 128)
conv2d_36	(None, 7, 7, 128)
batch_normalization_31	(None, 7, 7, 128)
batch_normalization_36	(None, 7, 7, 128)
activation_31	(None, 7, 7, 128)
activation_36	(None, 7, 7, 128)
conv2d_32	(None, 7, 7, 128)
conv2d_37	(None, 7, 7, 128)
batch_normalization_32	(None, 7, 7, 128)
batch_normalization_37	(None, 7, 7, 128)
activation_32	(None, 7, 7, 128)
activation_37	(None, 7, 7, 128)
average_pooling2d_3	(None, 7, 7, 768)
conv2d_30	(None, 7, 7, 192)
conv2d_33	(None, 7, 7, 192)
conv2d_38	(None, 7, 7, 192)
conv2d_39	(None, 7, 7, 192)
batch_normalization_30	(None, 7, 7, 192)
batch_normalization_33	(None, 7, 7, 192)
batch_normalization_38	(None, 7, 7, 192)
batch_normalization_39	(None, 7, 7, 192)
activation_30	(None, 7, 7, 192)
activation_33	(None, 7, 7, 192)
activation_38	(None, 7, 7, 192)
activation_39	(None, 7, 7, 192)
mixed4	(None, 7, 7, 768)
conv2d_44	(None, 7, 7, 160)
batch_normalization_44	(None, 7, 7, 160)
activation_44	(None, 7, 7, 160)
conv2d_45	(None, 7, 7, 160)
batch_normalization_45	(None, 7, 7, 160)
activation_45	(None, 7, 7, 160)
conv2d_41	(None, 7, 7, 160)
conv2d_46	(None, 7, 7, 160)
batch_normalization_41	(None, 7, 7, 160)
batch_normalization_46	(None, 7, 7, 160)
activation_41	(None, 7, 7, 160)
activation_46	(None, 7, 7, 160)
conv2d_42	(None, 7, 7, 160)
conv2d_47	(None, 7, 7, 160)
batch_normalization_42	(None, 7, 7, 160)
batch_normalization_47	(None, 7, 7, 160)
activation_42	(None, 7, 7, 160)
activation_47	(None, 7, 7, 160)
average_pooling2d_4	(None, 7, 7, 768)
conv2d_40	(None, 7, 7, 192)
conv2d_43	(None, 7, 7, 192)
conv2d_48	(None, 7, 7, 192)
conv2d_49	(None, 7, 7, 192)
batch_normalization_40	(None, 7, 7, 192)
batch_normalization_43	(None, 7, 7, 192)
batch_normalization_48	(None, 7, 7, 192)
batch_normalization_49	(None, 7, 7, 192)
activation_40	(None, 7, 7, 192)
activation_43	(None, 7, 7, 192)
activation_48	(None, 7, 7, 192)
activation_49	(None, 7, 7, 192)
mixed5	(None, 7, 7, 768)
conv2d_54	(None, 7, 7, 160)
batch_normalization_54	(None, 7, 7, 160)
activation_54	(None, 7, 7, 160)
conv2d_55	(None, 7, 7, 160)
batch_normalization_55	(None, 7, 7, 160)
activation_55	(None, 7, 7, 160)
conv2d_51	(None, 7, 7, 160)
conv2d_56	(None, 7, 7, 160)
batch_normalization_51	(None, 7, 7, 160)
batch_normalization_56	(None, 7, 7, 160)
activation_51	(None, 7, 7, 160)
activation_56	(None, 7, 7, 160)
conv2d_52	(None, 7, 7, 160)
conv2d_57	(None, 7, 7, 160)
batch_normalization_52	(None, 7, 7, 160)
batch_normalization_57	(None, 7, 7, 160)
activation_52	(None, 7, 7, 160)
activation_57	(None, 7, 7, 160)
average_pooling2d_5	(None, 7, 7, 768)
